Date,Open,High,Low,Close
12/31/2021,"76.66","77.08","74.95","75.21"
12/30/2021,"76.58","77.44","75.78","76.99"
12/29/2021,"76.04","77.37","75.36","76.56"
12/28/2021,"75.97","76.92","75.53","75.98"
12/27/2021,"73.38","76.09","72.57","75.57"
12/23/2021,"73.03","73.95","72.27","73.79"
12/22/2021,"71.27","73.16","70.80","72.76"
12/21/2021,"69.21","71.55","68.56","71.12"
12/20/2021,"70.07","70.07","66.04","68.23"
12/17/2021,"71.92","72.26","69.89","70.86"
12/16/2021,"71.48","72.99","71.03","72.38"
12/15/2021,"70.35","71.66","69.39","70.87"
12/14/2021,"71.12","72.03","69.51","70.73"
12/13/2021,"72.04","73.00","70.71","71.29"
12/10/2021,"70.68","72.33","70.32","71.67"
12/09/2021,"72.52","73.34","70.39","70.94"
12/08/2021,"71.86","73.00","70.91","72.36"
12/07/2021,"69.72","73.03","69.52","72.05"
12/06/2021,"67.02","70.15","66.72","69.49"
12/03/2021,"67.50","69.22","65.60","66.26"
12/02/2021,"65.63","67.49","62.43","66.50"
12/01/2021,"67.01","69.49","64.84","65.57"
11/30/2021,"70.04","71.22","64.43","66.18"
11/29/2021,"69.23","72.93","68.86","69.95"
11/26/2021,"78.10","78.17","67.40","68.15"
11/24/2021,"78.48","79.23","77.98","78.39"
11/23/2021,"76.46","78.86","75.30","78.50"
11/22/2021,"75.75","77.16","74.76","76.75"
11/19/2021,"78.76","79.92","75.37","76.10"
11/18/2021,"78.34","79.36","77.08","79.01"
11/17/2021,"80.54","80.69","77.69","78.36"
11/16/2021,"80.93","81.81","80.03","80.76"
11/15/2021,"80.66","81.20","79.30","80.88"
11/12/2021,"81.21","81.62","79.78","80.79"
11/11/2021,"81.41","82.33","80.20","81.59"
11/10/2021,"84.53","84.97","80.81","81.34"
11/09/2021,"82.16","84.63","81.78","84.15"
11/08/2021,"81.13","82.67","81.05","81.93"
11/05/2021,"79.37","81.80","78.96","81.27"
11/04/2021,"80.18","83.42","78.25","78.81"
11/03/2021,"83.07","83.08","79.69","80.86"
11/02/2021,"83.87","84.41","82.92","83.91"
11/01/2021,"83.36","84.88","82.74","84.05"
10/29/2021,"83.09","83.74","81.41","83.57"
10/28/2021,"82.25","83.21","80.58","82.81"
10/27/2021,"84.39","84.51","82.01","82.66"
10/26/2021,"83.72","84.88","82.97","84.65"
10/25/2021,"83.98","85.41","83.39","83.76"
10/22/2021,"82.61","84.22","81.76","83.76"
10/21/2021,"83.58","83.96","80.79","82.50"
10/20/2021,"83.34","84.25","81.30","83.87"
10/19/2021,"82.37","83.74","81.80","82.96"
10/18/2021,"82.60","83.87","81.84","82.44"
10/15/2021,"81.48","82.66","81.39","82.28"
10/14/2021,"80.59","81.68","80.38","81.31"
10/13/2021,"80.58","81.04","79.42","80.44"
10/12/2021,"80.50","81.62","79.47","80.64"
10/11/2021,"79.59","82.18","79.55","80.52"
10/08/2021,"78.86","80.11","78.63","79.35"
10/07/2021,"77.00","78.89","74.96","78.30"
10/06/2021,"79.04","79.78","76.83","77.43"
10/05/2021,"77.58","79.48","77.47","78.93"
10/04/2021,"75.90","78.38","75.32","77.62"
10/01/2021,"75.12","75.99","74.23","75.88"
09/30/2021,"74.78","76.07","73.14","75.03"
09/29/2021,"74.38","75.79","73.74","74.83"
09/28/2021,"75.43","76.67","74.24","75.29"
09/27/2021,"74.19","75.75","74.16","75.45"
09/24/2021,"73.24","74.27","72.81","73.98"
09/23/2021,"71.97","73.50","71.61","73.30"
09/22/2021,"70.85","72.30","70.64","72.23"
09/21/2021,"70.59","71.63","69.67","70.56"
09/20/2021,"71.92","72.08","69.86","70.29"
09/17/2021,"72.62","72.72","71.21","71.97"
09/16/2021,"72.65","72.99","71.53","72.61"
09/15/2021,"70.76","73.14","70.65","72.61"
09/14/2021,"70.64","71.22","69.98","70.46"
09/13/2021,"69.74","70.97","69.51","70.45"
09/10/2021,"67.97","69.96","67.68","69.72"
09/09/2021,"69.36","69.89","67.56","68.14"
09/08/2021,"68.37","69.75","68.31","69.30"
09/07/2021,"68.88","69.42","67.64","68.35"
09/03/2021,"69.76","70.53","69.05","69.29"
09/02/2021,"68.29","70.61","67.84","69.99"
09/01/2021,"68.55","69.24","67.12","68.59"
08/31/2021,"69.18","69.34","68.16","68.50"
08/30/2021,"69.30","69.64","67.67","69.21"
08/27/2021,"67.75","69.05","67.52","68.74"
