Date,Open,High,Low,Close
12/31/2020,"48.35","48.58","47.77","48.52"
12/30/2020,"48.13","48.66","47.61","48.40"
12/29/2020,"47.72","48.35","47.68","48.00"
12/28/2020,"48.23","48.96","47.50","47.62"
12/24/2020,"48.09","48.62","47.56","48.23"
12/23/2020,"46.79","48.50","46.16","48.12"
12/22/2020,"47.93","47.96","46.60","47.02"
12/21/2020,"48.54","48.61","46.18","47.74"
12/18/2020,"48.43","49.28","48.10","49.10"
12/17/2020,"47.85","48.59","47.81","48.36"
12/16/2020,"47.60","47.94","47.17","47.82"
12/15/2020,"46.99","47.73","46.54","47.62"
12/14/2020,"46.73","47.44","45.69","46.99"
12/11/2020,"46.97","47.29","46.34","46.57"
12/10/2020,"45.69","47.74","45.52","46.78"
12/09/2020,"45.60","46.24","44.95","45.52"
12/08/2020,"45.66","45.93","45.14","45.60"
12/07/2020,"46.15","46.54","45.36","45.76"
12/04/2020,"45.64","46.68","45.61","46.26"
12/03/2020,"44.99","45.84","44.66","45.64"
12/02/2020,"44.38","45.92","43.92","45.28"
12/01/2020,"45.08","45.70","44.12","44.55"
11/30/2020,"45.34","45.80","44.42","45.34"
11/27/2020,"44.90","45.71","44.55","45.53"
11/25/2020,"44.82","46.26","44.73","45.71"
11/24/2020,"42.84","45.20","42.82","44.91"
11/23/2020,"42.46","43.36","42.29","43.06"
11/20/2020,"41.70","42.32","41.51","42.15"
11/19/2020,"41.61","41.98","41.08","41.74"
11/18/2020,"41.35","42.46","41.08","41.82"
11/17/2020,"41.44","41.69","40.57","41.43"
11/16/2020,"40.17","42.09","40.15","41.34"
11/13/2020,"40.94","40.94","40.06","40.13"
11/12/2020,"41.47","42.19","40.87","41.12"
11/11/2020,"41.79","43.06","41.32","41.45"
11/10/2020,"39.91","41.84","39.41","41.36"
11/09/2020,"37.34","41.33","37.16","40.29"
11/06/2020,"38.54","38.61","37.06","37.14"
11/05/2020,"39.17","39.35","38.27","38.79"
11/04/2020,"38.15","39.25","37.26","39.15"
11/03/2020,"37.03","38.32","36.57","37.66"
11/02/2020,"35.24","37.15","33.64","36.81"
10/30/2020,"36.07","36.60","35.21","35.79"
10/29/2020,"37.39","37.76","34.92","36.17"
10/28/2020,"38.97","39.01","36.97","37.39"
10/27/2020,"38.59","39.83","38.51","39.57"
10/26/2020,"39.69","39.74","38.28","38.56"
10/23/2020,"40.61","40.92","39.57","39.85"
10/22/2020,"40.04","41.02","39.71","40.64"
10/21/2020,"41.22","41.59","39.78","40.03"
10/20/2020,"40.65","41.70","40.25","41.46"
10/19/2020,"40.69","41.22","40.54","40.83"
10/16/2020,"40.88","41.05","40.08","40.88"
10/15/2020,"41.13","41.29","39.22","40.96"
10/14/2020,"40.19","41.16","39.82","41.04"
10/13/2020,"39.53","40.53","39.35","40.20"
10/12/2020,"40.40","40.45","39.04","39.43"
10/09/2020,"41.31","41.47","40.38","40.60"
10/08/2020,"39.99","41.33","39.76","41.19"
10/07/2020,"39.83","40.35","39.28","39.95"
10/06/2020,"39.35","40.86","39.10","40.67"
10/05/2020,"37.00","39.72","37.00","39.22"
10/02/2020,"38.60","38.65","36.63","37.05"
10/01/2020,"39.90","40.47","37.61","38.72"
09/30/2020,"39.16","40.37","38.68","40.22"
09/29/2020,"40.58","40.70","38.41","39.29"
09/28/2020,"40.07","40.80","39.78","40.60"
09/25/2020,"40.15","40.64","39.71","40.25"
09/24/2020,"39.60","40.37","39.12","40.31"
09/23/2020,"39.76","40.75","39.26","39.93"
09/22/2020,"39.63","40.02","39.00","39.60"
09/21/2020,"40.98","41.27","38.66","39.31"
09/18/2020,"40.97","41.49","40.30","41.11"
09/17/2020,"40.19","41.22","39.42","40.97"
09/16/2020,"38.35","40.34","38.35","40.16"
09/15/2020,"37.28","38.57","37.06","38.28"
09/14/2020,"37.32","37.68","36.82","37.26"
09/11/2020,"37.01","37.82","36.67","37.33"
09/10/2020,"37.80","38.18","36.93","37.30"
09/09/2020,"36.79","38.45","36.16","38.05"
09/08/2020,"39.13","39.33","36.13","36.76"
09/04/2020,"41.25","41.87","39.35","39.77"
09/03/2020,"41.63","41.79","40.22","41.37"
09/02/2020,"43.02","43.21","41.23","41.51"
09/01/2020,"42.83","43.43","42.72","42.76"
08/31/2020,"42.91","43.57","42.56","42.61"
08/28/2020,"42.98","43.42","42.69","42.97"
08/27/2020,"43.45","43.50","42.36","43.04"
08/26/2020,"43.39","43.78","43.00","43.39"
08/25/2020,"42.36","43.57","42.31","43.35"
08/24/2020,"42.48","42.89","42.23","42.62"
08/21/2020,"42.75","42.96","41.46","42.34"
08/20/2020,"42.74","42.80","41.50","42.58"
08/19/2020,"42.60","43.03","42.36","42.93"
08/18/2020,"42.79","42.99","42.11","42.89"
08/17/2020,"42.24","42.97","41.80","42.89"
08/14/2020,"42.33","42.57","41.62","42.01"
08/13/2020,"42.57","42.84","42.09","42.24"
08/12/2020,"41.62","42.90","41.53","42.67"
08/11/2020,"41.98","42.94","41.48","41.61"
08/10/2020,"41.50","42.33","41.17","41.94"
08/07/2020,"41.97","42.22","41.06","41.22"
08/06/2020,"42.19","42.65","41.61","41.95"
08/05/2020,"41.56","43.52","41.47","42.19"
08/04/2020,"40.78","42.08","40.14","41.70"
08/03/2020,"40.39","41.24","39.58","41.01"
07/31/2020,"40.34","40.55","39.66","40.27"
07/30/2020,"41.32","41.39","38.72","39.92"
07/29/2020,"41.13","41.57","40.93","41.27"
07/28/2020,"41.65","41.93","40.85","41.04"
07/27/2020,"41.26","41.82","40.48","41.60"
07/24/2020,"41.06","41.67","40.66","41.29"
07/23/2020,"41.95","42.36","40.83","41.07"
07/22/2020,"41.54","42.03","41.14","41.90"
07/21/2020,"40.65","42.40","40.64","41.96"
07/20/2020,"40.64","40.91","39.83","40.81"
07/17/2020,"40.72","40.90","40.02","40.59"
07/16/2020,"40.97","41.18","40.52","40.75"
07/15/2020,"40.55","41.26","40.08","41.20"
07/14/2020,"39.60","40.57","39.07","40.29"
07/13/2020,"40.35","40.72","39.47","40.10"
07/10/2020,"39.58","40.77","38.54","40.55"
07/09/2020,"40.87","40.99","39.27","39.62"
07/08/2020,"40.48","41.08","40.30","40.90"
07/07/2020,"40.68","40.95","39.90","40.62"
07/06/2020,"40.31","41.08","40.15","40.63"
07/02/2020,"39.78","40.74","39.46","40.65"
07/01/2020,"39.84","40.58","39.05","39.82"
06/30/2020,"39.64","40.08","38.85","39.27"
06/29/2020,"37.96","39.89","37.50","39.70"
06/26/2020,"39.09","39.35","37.79","38.49"
06/25/2020,"38.05","39.23","37.08","38.72"
06/24/2020,"39.99","40.54","37.31","38.01"
06/23/2020,"40.68","41.63","39.76","40.37"
06/22/2020,"39.18","40.70","39.12","40.46"
06/19/2020,"38.85","40.50","38.40","39.75"
06/18/2020,"37.74","38.97","37.11","38.84"
06/17/2020,"37.93","38.75","37.21","37.96"
06/16/2020,"37.05","39.06","36.38","38.38"
06/15/2020,"36.03","37.26","34.36","37.12"
06/12/2020,"36.26","36.99","34.48","36.26"
06/11/2020,"39.09","39.09","35.41","36.34"
06/10/2020,"38.50","39.91","37.73","39.60"
06/09/2020,"38.22","39.10","37.07","38.94"
06/08/2020,"39.41","40.44","37.96","38.19"
06/05/2020,"37.33","39.68","37.05","39.55"
06/04/2020,"36.76","37.62","36.38","37.41"
06/03/2020,"36.86","38.18","35.88","37.29"
06/02/2020,"35.56","37.06","35.28","36.81"
06/01/2020,"35.21","35.90","34.27","35.44"
05/29/2020,"33.68","35.77","32.36","35.49"
05/28/2020,"32.10","34.21","31.14","33.71"
05/27/2020,"34.14","34.32","31.75","32.81"
05/26/2020,"33.79","34.81","33.38","34.35"
05/22/2020,"33.95","34.00","30.72","33.25"
05/21/2020,"33.53","34.66","33.26","33.92"
05/20/2020,"31.89","33.78","31.56","33.49"
05/19/2020,"32.83","33.44","31.34","32.50"
05/18/2020,"29.53","33.32","29.53","31.82"
05/15/2020,"27.64","29.92","27.24","29.43"
05/14/2020,"25.56","27.96","25.18","27.56"
05/13/2020,"25.30","26.45","24.79","25.29"
05/12/2020,"24.49","26.23","24.22","25.78"
05/11/2020,"24.49","25.58","23.67","24.14"
05/08/2020,"23.35","24.99","23.26","24.74"
05/07/2020,"24.09","26.74","22.94","23.55"
05/06/2020,"25.52","26.08","22.58","23.99"
05/05/2020,"21.24","25.49","21.13","24.56"
05/04/2020,"19.11","21.42","18.05","20.39"
05/01/2020,"19.04","20.48","18.07","19.78"
04/30/2020,"15.64","19.44","15.45","18.84"
04/29/2020,"13.35","16.78","12.67","15.06"
04/28/2020,"12.96","13.69","10.07","12.34"
04/27/2020,"16.84","16.98","11.88","12.78"
04/24/2020,"16.78","17.97","15.64","16.94"
04/23/2020,"14.20","18.26","13.35","16.50"
04/22/2020,"13.12","16.20","10.26","13.78"
04/21/2020,"14.00","13.86","16.74","10.01"
04/20/2020,"14.00","2.54","40.32","37.63"
04/17/2020,"20.00","20.22","17.31","18.27"
04/16/2020,"20.15","20.53","19.42","19.87"
04/15/2020,"20.72","20.89","19.20","19.87"
04/14/2020,"22.36","23.08","19.95","20.11"
04/13/2020,"24.60","24.74","22.03","22.41"
04/09/2020,"26.28","28.36","22.57","22.76"
04/08/2020,"24.30","26.45","23.74","25.09"
04/07/2020,"26.34","27.24","23.54","23.63"
04/06/2020,"26.09","28.24","25.28","26.08"
04/03/2020,"24.81","29.13","23.52","28.34"
04/02/2020,"21.22","27.39","20.76","25.32"
04/01/2020,"20.10","21.55","19.90","20.31"
03/31/2020,"20.23","21.89","20.01","20.48"
03/30/2020,"20.93","20.93","19.27","20.09"
03/27/2020,"23.29","23.44","20.88","21.51"
03/26/2020,"24.25","24.65","22.38","22.60"
03/25/2020,"24.37","25.24","22.91","24.49"
03/24/2020,"23.87","25.16","23.09","24.01"
03/23/2020,"22.52","24.07","20.80","23.36"
03/20/2020,"24.73","27.89","19.46","22.43"
03/19/2020,"22.30","27.71","21.36","25.22"
03/18/2020,"26.94","27.22","20.06","20.37"
03/17/2020,"28.69","30.30","26.63","26.95"
03/16/2020,"33.75","33.75","28.03","28.70"
03/13/2020,"33.44","33.45","31.13","31.73"
03/12/2020,"33.07","33.63","30.02","31.50"
03/11/2020,"34.62","36.35","32.56","32.98"
03/10/2020,"30.37","35.02","30.20","34.36"
03/09/2020,"32.87","34.88","27.34","31.13"
03/06/2020,"46.09","46.38","41.05","41.28"
03/05/2020,"47.13","47.57","45.65","45.90"
03/04/2020,"46.94","48.41","46.65","46.78"
03/03/2020,"47.72","48.66","46.47","47.18"
03/02/2020,"43.70","47.56","43.32","46.75"
02/28/2020,"46.49","47.03","43.90","47.09"
02/27/2020,"48.63","48.78","45.88","47.09"
02/26/2020,"50.08","50.44","48.30","48.73"
02/25/2020,"51.37","52.02","49.69","49.90"
02/24/2020,"52.60","52.64","50.45","51.43"
02/21/2020,"53.74","53.86","52.55","53.38"
02/20/2020,"53.50","54.50","53.22","53.78"
02/19/2020,"52.12","53.66","51.93","53.29"
02/18/2020,"52.10","52.20","50.88","52.05"
02/14/2020,"51.51","52.34","51.32","52.05"
02/13/2020,"51.72","51.96","50.60","51.42"
02/12/2020,"49.96","51.73","49.95","51.17"
02/11/2020,"49.61","50.69","49.58","49.94"
02/10/2020,"50.12","50.49","49.42","49.57"
02/07/2020,"51.11","51.48","50.09","50.32"
02/06/2020,"51.17","52.20","50.24","50.95"
02/05/2020,"49.51","51.88","49.47","50.75"
02/04/2020,"49.94","51.55","49.31","49.61"
02/03/2020,"51.01","51.97","49.80","50.11"
01/31/2020,"52.92","53.36","50.97","51.56"
01/30/2020,"53.09","53.20","51.66","52.14"
01/29/2020,"53.97","54.37","52.81","53.33"
01/28/2020,"52.77","54.06","52.68","53.48"
01/27/2020,"53.70","53.71","52.13","53.14"
01/24/2020,"55.69","55.95","53.85","54.19"
01/23/2020,"56.11","56.27","54.77","55.59"
01/22/2020,"58.26","58.38","56.03","56.74"
01/21/2020,"58.80","58.82","57.68","58.34"
01/17/2020,"58.59","58.98","58.27","58.54"
01/16/2020,"58.10","58.87","57.56","58.52"
01/15/2020,"58.20","58.36","57.36","57.81"
01/14/2020,"58.03","58.72","57.72","58.23"
01/13/2020,"59.04","59.27","57.91","58.08"
01/10/2020,"59.61","59.78","58.85","59.04"
01/09/2020,"59.99","60.31","58.66","59.56"
01/08/2020,"62.84","65.65","59.15","59.61"
01/07/2020,"62.91","63.15","62.11","62.70"
01/06/2020,"63.71","64.72","62.64","63.27"
01/03/2020,"61.18","64.09","61.13","63.05"
01/02/2020,"61.60","61.60","60.64","61.18"
